Name,Yr,Team,G,AB,PA,H_b,1B,2B,3B,HR_b,R_b,RBI,BB_b,IBB_b,SO_b,BB%,K%,BB/K,BABIP_b,HBP_b,SF,SH,GDP,SB,CS,Def,ISO,wOBA,wRAA,AVG,OBP,SLG,OPS,WAR,wRC+,WPA,W,L,GS,CG,IP,H_p,HR_p,BB_p,SO_p,R_p,SV,BS,BK,ER,HBP_p,HLD,IBB_p,ShO,TBF,WP,HR/9,BB/9,K/9,K/BB,K-BB%,GB%,HR/FB,LOB%,ERA,BABIP_p,FIP,WHIP,Contract Yrs,Total Salary($),Avg Salary($)
Milton Bradley,2007,Rangers,61,209.0,244.0,64.0,41.0,9.0,1.0,13.0,37.0,37.0,31.0,3.0,41.0,12.7,16.8,0.76,0.327,3.0,1.0,0.0,5.0,5.0,2.0,-2.2,0.239,0.405,15.2,0.306,0.402,0.545,0.947,2.1,151.0,1.61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5000000.0,5000000.0
Octavio Dotel,2007,White Sox,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.01,2.0,1.0,0.0,0.0,30.2,29.0,4.0,12.0,41.0,16.0,11.0,4.0,0.0,14.0,4.0,1.0,4.0,0.0,138.0,2.0,1.17,3.52,12.03,3.42,21.0,38.0,11.1,73.6,4.11,0.325,3.83,1.34,2.0,11000000.0,5500000.0
Paul Lo Duca,2007,Mets,119,445.0,488.0,121.0,93.0,18.0,1.0,9.0,46.0,54.0,24.0,4.0,33.0,4.9,6.8,0.73,0.271,6.0,10.0,3.0,18.0,2.0,0.0,6.0,0.106,0.3,-12.9,0.272,0.311,0.378,0.6890000000000001,0.1,77.0,-1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5000000.0,5000000.0
Pedro Feliz,2007,Giants,150,557.0,590.0,141.0,91.0,28.0,2.0,20.0,61.0,72.0,29.0,2.0,70.0,4.9,11.9,0.41,0.257,1.0,3.0,0.0,15.0,2.0,2.0,25.7,0.165,0.306,-12.6,0.253,0.29,0.418,0.708,2.3,79.0,-1.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,8500000.0,4250000.0
Ramon Castro,2007,Mets,52,144.0,157.0,41.0,24.0,6.0,0.0,11.0,24.0,31.0,10.0,0.0,39.0,6.4,24.8,0.26,0.313,1.0,2.0,0.0,1.0,0.0,0.0,0.8,0.271,0.375,5.8,0.285,0.331,0.556,0.887,0.8,126.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4600000.0,2300000.0
Randy Wolf,2007,Dodgers,18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,-0.55,9.0,6.0,18.0,0.0,102.2,110.0,10.0,39.0,94.0,55.0,0.0,0.0,0.0,54.0,6.0,0.0,2.0,0.0,458.0,4.0,0.88,3.42,8.24,2.41,12.0,40.8,8.1,70.9,4.73,0.324,3.99,1.45,1.0,4750000.0,4750000.0
Rob Mackowiak,2007,Nationals,113,293.0,329.0,77.0,55.0,14.0,2.0,6.0,40.0,38.0,26.0,1.0,71.0,7.9,21.6,0.37,0.326,8.0,2.0,0.0,7.0,4.0,1.0,-2.5,0.123,0.322,-2.4,0.263,0.337,0.386,0.723,0.8,92.0,-1.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1500000.0,1500000.0
Rod Barajas,2007,Phillies,48,122.0,147.0,28.0,16.0,8.0,0.0,4.0,16.0,10.0,21.0,3.0,24.0,14.3,16.3,0.88,0.255,2.0,0.0,1.0,5.0,0.0,1.0,3.3,0.16399999999999998,0.328,-0.3,0.23,0.35200000000000004,0.393,0.745,0.5,91.0,-0.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1200000.0,1200000.0
Ron Mahay,2007,Royals,58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.4,3.0,0.0,0.0,0.0,67.0,52.0,4.0,37.0,55.0,20.0,1.0,1.0,1.0,19.0,1.0,7.0,2.0,0.0,281.0,1.0,0.54,4.97,7.39,1.49,6.4,48.9,6.3,82.9,2.55,0.261,4.08,1.33,2.0,8000000.0,4000000.0
Scott Linebrink,2007,White Sox,71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,0.0,0.12,5.0,6.0,0.0,0.0,70.1,68.0,12.0,25.0,50.0,33.0,1.0,7.0,0.0,29.0,1.0,21.0,3.0,0.0,295.0,6.0,1.54,3.2,6.4,2.0,8.5,42.1,15.0,79.0,3.71,0.271,5.14,1.32,4.0,19000000.0,4750000.0
Sean Casey,2007,Tigers,143,453.0,496.0,134.0,99.0,30.0,1.0,4.0,40.0,54.0,39.0,11.0,42.0,7.9,8.5,0.93,0.318,2.0,2.0,0.0,9.0,2.0,2.0,-9.1,0.097,0.324,-2.8,0.29600000000000004,0.353,0.393,0.746,0.1,93.0,-0.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,800000.0,800000.0
Shawn Chacon,2007,Pirates,64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.79,5.0,4.0,4.0,0.0,96.0,95.0,9.0,48.0,79.0,42.0,1.0,7.0,0.0,42.0,7.0,12.0,11.0,0.0,428.0,1.0,0.84,4.5,7.41,1.65,7.2,43.8,8.3,78.6,3.94,0.302,4.53,1.49,1.0,2000000.0,2000000.0
So Taguchi,2007,Cardinals,130,307.0,340.0,89.0,71.0,15.0,0.0,3.0,48.0,30.0,23.0,0.0,32.0,6.8,9.4,0.72,0.315,6.0,1.0,3.0,10.0,7.0,4.0,-2.4,0.078,0.324,-2.0,0.29,0.35,0.368,0.718,0.4,93.0,-0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1050000.0,1050000.0
Tony Clark,2007,Diamondbacks,113,221.0,245.0,55.0,32.0,5.0,1.0,17.0,31.0,51.0,21.0,3.0,59.0,8.6,24.1,0.36,0.257,0.0,3.0,0.0,8.0,0.0,0.0,-5.4,0.262,0.344,2.7,0.249,0.31,0.511,0.8220000000000001,0.0,98.0,-0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,900000.0,900000.0
Torii Hunter,2007,Twins,160,600.0,650.0,172.0,98.0,45.0,1.0,28.0,94.0,107.0,40.0,10.0,101.0,6.2,15.5,0.4,0.303,5.0,5.0,0.0,17.0,18.0,9.0,-0.8,0.218,0.354,12.7,0.287,0.334,0.505,0.8390000000000001,3.2,116.0,0.97,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,90000000.0,18000000.0
Trever Miller,2007,Astros,76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-0.33,0.0,0.0,0.0,0.0,46.1,45.0,6.0,23.0,46.0,26.0,1.0,2.0,0.0,25.0,4.0,12.0,6.0,0.0,211.0,1.0,1.17,4.47,8.94,2.0,10.9,34.1,9.2,72.3,4.86,0.295,4.69,1.47,1.0,2000000.0,2000000.0
Troy Percival,2007,Cardinals,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.94,3.0,0.0,1.0,0.0,40.0,24.0,3.0,10.0,36.0,8.0,0.0,0.0,0.0,8.0,0.0,3.0,0.0,0.0,150.0,2.0,0.68,2.25,8.1,3.6,17.3,33.0,5.3,87.3,1.8,0.208,3.16,0.85,2.0,8000000.0,4000000.0
Willie Harris,2007,Braves,117,344.0,391.0,93.0,63.0,20.0,8.0,2.0,56.0,32.0,40.0,0.0,71.0,10.2,18.2,0.56,0.332,3.0,3.0,1.0,3.0,17.0,11.0,2.0,0.122,0.33,-0.3,0.27,0.349,0.392,0.741,1.4,96.0,-0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,800000.0,800000.0
Yorvit Torrealba,2007,Rockies,113,396.0,443.0,101.0,70.0,22.0,1.0,8.0,47.0,47.0,34.0,1.0,73.0,7.7,16.5,0.47,0.294,6.0,1.0,6.0,19.0,2.0,1.0,8.0,0.121,0.311,-7.3,0.255,0.32299999999999995,0.376,0.6990000000000001,0.6,75.0,-1.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,7250000.0,3625000.0
A.J. Burnett,2008,Blue Jays,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1,0.0,1.03,18.0,10.0,34.0,1.0,221.1,211.0,19.0,86.0,231.0,109.0,0.0,0.0,2.0,100.0,9.0,0.0,2.0,0.0,957.0,11.0,0.77,3.5,9.39,2.69,15.2,48.5,9.7,70.5,4.07,0.314,3.45,1.34,5.0,82500000.0,16500000.0
Aaron Boone,2008,Nationals,104,232.0,255.0,56.0,36.0,13.0,1.0,6.0,23.0,28.0,18.0,1.0,52.0,7.1,20.4,0.35,0.284,2.0,2.0,1.0,8.0,0.0,1.0,-1.2,0.142,0.3,-6.0,0.241,0.299,0.384,0.6829999999999999,-0.1,77.0,-1.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,750000.0,750000.0
Aaron Miles,2008,Cardinals,134,379.0,408.0,120.0,99.0,15.0,2.0,4.0,49.0,31.0,23.0,2.0,37.0,5.6,9.1,0.62,0.342,0.0,1.0,5.0,13.0,3.0,3.0,3.1,0.08199999999999999,0.334,1.8,0.317,0.355,0.398,0.753,1.6,102.0,-0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,4900000.0,2450000.0
Adam Dunn,2008,Nationals,158,517.0,651.0,122.0,59.0,23.0,0.0,40.0,79.0,100.0,122.0,13.0,164.0,18.7,25.2,0.74,0.258,7.0,5.0,0.0,7.0,2.0,1.0,-37.6,0.277,0.384,30.1,0.236,0.386,0.513,0.898,0.6,130.0,2.66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,20000000.0,10000000.0
Adam Everett,2008,Twins,48,127.0,150.0,27.0,18.0,6.0,1.0,2.0,19.0,20.0,12.0,1.0,15.0,8.0,10.0,0.8,0.219,1.0,4.0,6.0,0.0,0.0,0.0,5.4,0.11,0.265,-7.9,0.213,0.278,0.32299999999999995,0.601,0.3,57.0,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000.0,1000000.0
Alan Embree,2008,Athletics,70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.85,2.0,5.0,0.0,0.0,61.2,59.0,8.0,30.0,57.0,36.0,0.0,5.0,0.0,34.0,2.0,18.0,5.0,0.0,270.0,2.0,1.17,4.38,8.32,1.9,10.0,44.6,10.4,68.9,4.96,0.295,4.53,1.44,1.0,2250000.0,2250000.0
Alex Cora,2008,Red Sox,75,152.0,179.0,41.0,31.0,8.0,2.0,0.0,14.0,9.0,16.0,1.0,13.0,8.9,7.3,1.23,0.293,9.0,1.0,1.0,3.0,1.0,1.0,0.3,0.079,0.329,0.2,0.27,0.371,0.349,0.7190000000000001,0.6,95.0,-0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2000000.0,2000000.0
Andy Pettitte,2008,Yankees,33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8,0.0,-1.12,14.0,14.0,33.0,0.0,204.0,233.0,19.0,55.0,158.0,112.0,0.0,0.0,1.0,103.0,7.0,0.0,4.0,0.0,881.0,6.0,0.84,2.43,6.97,2.87,11.7,51.5,10.3,68.2,4.54,0.333,3.71,1.41,1.0,5500000.0,5500000.0
Arthur Rhodes,2008,Reds,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,1.66,4.0,1.0,0.0,0.0,35.1,28.0,0.0,16.0,40.0,9.0,2.0,1.0,0.0,8.0,0.0,24.0,4.0,0.0,146.0,1.0,0.0,4.08,10.19,2.5,16.4,26.7,0.0,79.6,2.04,0.311,2.23,1.25,2.0,4000000.0,2000000.0
Bartolo Colon,2008,Red Sox,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,-0.18,4.0,2.0,7.0,0.0,39.0,44.0,5.0,10.0,27.0,23.0,0.0,0.0,0.0,17.0,2.0,0.0,0.0,0.0,173.0,0.0,1.15,2.31,6.23,2.7,9.8,40.0,9.8,67.4,3.92,0.302,4.34,1.38,1.0,1000000.0,1000000.0
Bob Howry,2008,Cubs,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-0.69,7.0,5.0,0.0,0.0,70.2,90.0,13.0,13.0,59.0,44.0,1.0,4.0,0.0,42.0,2.0,15.0,5.0,0.0,311.0,0.0,1.66,1.66,7.51,4.54,14.8,34.9,11.8,70.3,5.35,0.344,4.49,1.46,1.0,2750000.0,2750000.0
Bobby Abreu,2008,Yankees,156,609.0,684.0,180.0,117.0,39.0,4.0,20.0,100.0,100.0,73.0,2.0,109.0,10.7,15.9,0.67,0.333,1.0,1.0,0.0,14.0,22.0,11.0,-28.6,0.17600000000000002,0.369,23.1,0.29600000000000004,0.371,0.471,0.843,1.6,125.0,2.81,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,5000000.0,5000000.0
Brad Ausmus,2008,Astros,81,216.0,250.0,47.0,36.0,8.0,0.0,3.0,15.0,24.0,25.0,3.0,41.0,10.0,16.4,0.61,0.254,2.0,1.0,6.0,4.0,0.0,2.0,3.7,0.079,0.272,-11.7,0.218,0.303,0.29600000000000004,0.6,-0.2,61.0,-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000.0,1000000.0
Brad Penny,2008,Dodgers,19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,-2.42,6.0,9.0,17.0,0.0,94.2,112.0,13.0,42.0,51.0,68.0,0.0,0.0,1.0,66.0,3.0,0.0,0.0,0.0,426.0,1.0,1.24,3.99,4.85,1.21,2.1,48.4,13.4,64.1,6.27,0.312,5.27,1.63,1.0,5000000.0,5000000.0
Braden Looper,2008,Cardinals,42,63.0,80.0,16.0,12.0,3.0,1.0,0.0,5.0,4.0,4.0,0.0,21.0,5.0,26.3,0.19,0.381,0.0,0.0,13.0,3.0,0.0,0.0,8.5,0.079,0.28300000000000003,0.0,0.254,0.299,0.333,0.632,1.7,69.0,-0.18,12.0,14.0,33.0,1.0,199.0,216.0,25.0,45.0,108.0,101.0,0.0,0.0,1.0,92.0,11.0,0.0,1.0,1.0,842.0,3.0,1.13,2.04,4.88,2.4,7.5,48.4,11.7,72.2,4.16,0.292,4.52,1.31,1.0,5500000.0,5500000.0
Brandon Lyon,2008,Diamondbacks,61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,-0.46,3.0,5.0,0.0,0.0,59.1,75.0,7.0,13.0,44.0,34.0,26.0,5.0,0.0,31.0,0.0,3.0,1.0,0.0,265.0,1.0,1.06,1.97,6.67,3.38,11.7,39.8,8.9,69.1,4.7,0.338,3.84,1.48,1.0,4250000.0,4250000.0
Brian Fuentes,2008,Rockies,67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4,0.0,2.43,1.0,5.0,0.0,0.0,62.2,47.0,3.0,22.0,82.0,22.0,30.0,4.0,0.0,19.0,1.0,6.0,1.0,0.0,256.0,1.0,0.43,3.16,11.78,3.73,23.4,32.6,4.5,73.0,2.73,0.297,2.24,1.1,2.0,17500000.0,8750000.0
Brian Shouse,2008,Brewers,69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.15,5.0,1.0,0.0,0.0,51.1,46.0,5.0,14.0,33.0,19.0,2.0,3.0,0.0,16.0,0.0,15.0,4.0,0.0,212.0,1.0,0.88,2.45,5.79,2.36,9.0,61.9,16.1,77.4,2.81,0.256,3.93,1.17,1.0,1550000.0,1550000.0
CC Sabathia,2008,Yankees,35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.3,0.0,4.76,17.0,10.0,35.0,10.0,253.0,223.0,19.0,59.0,251.0,85.0,0.0,0.0,2.0,76.0,7.0,0.0,1.0,5.0,1023.0,2.0,0.68,2.1,8.93,4.25,18.8,46.6,8.8,77.7,2.7,0.297,2.91,1.11,7.0,161000000.0,23000000.0
Carl Pavano,2008,Yankees,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.3,4.0,2.0,7.0,0.0,34.1,41.0,5.0,10.0,15.0,23.0,0.0,0.0,1.0,22.0,4.0,0.0,0.0,0.0,154.0,0.0,1.31,2.62,3.93,1.5,3.3,40.5,9.6,66.7,5.77,0.3,5.37,1.49,1.0,1500000.0,1500000.0
Casey Blake,2008,Dodgers,152,536.0,601.0,147.0,89.0,36.0,1.0,21.0,71.0,81.0,49.0,11.0,120.0,8.2,20.0,0.41,0.316,11.0,4.0,1.0,12.0,3.0,0.0,-4.0,0.188,0.34700000000000003,9.1,0.274,0.345,0.463,0.8079999999999999,2.3,111.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,17500000.0,5833333.333333332
Cesar Izturis,2008,Cardinals,135,414.0,454.0,109.0,95.0,10.0,3.0,1.0,50.0,24.0,29.0,1.0,26.0,6.4,5.7,1.12,0.278,6.0,2.0,3.0,6.0,24.0,6.0,12.3,0.046,0.28600000000000003,-15.8,0.263,0.319,0.309,0.628,1.0,71.0,-1.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5000000.0,2500000.0
Chan Ho Park,2008,Dodgers,54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.51,4.0,4.0,5.0,0.0,95.1,97.0,12.0,36.0,79.0,43.0,2.0,3.0,1.0,36.0,4.0,5.0,7.0,0.0,412.0,2.0,1.13,3.4,7.46,2.19,10.4,50.9,14.0,78.2,3.4,0.302,4.37,1.4,1.0,2500000.0,2500000.0
Cliff Floyd,2008,Rays,80,246.0,284.0,66.0,42.0,13.0,0.0,11.0,32.0,39.0,28.0,2.0,58.0,9.9,20.4,0.48,0.302,5.0,5.0,0.0,4.0,1.0,0.0,-8.2,0.187,0.349,4.8,0.268,0.349,0.455,0.804,0.5,114.0,0.46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,750000.0,750000.0
Craig Counsell,2008,Brewers,110,248.0,302.0,56.0,40.0,14.0,1.0,1.0,31.0,14.0,46.0,1.0,42.0,15.2,13.9,1.1,0.266,5.0,2.0,1.0,5.0,3.0,1.0,2.3,0.077,0.309,-4.9,0.226,0.355,0.302,0.6579999999999999,0.7,84.0,-0.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1000000.0,1000000.0
Damaso Marte,2008,Yankees,72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,2.69,5.0,3.0,0.0,0.0,65.0,52.0,5.0,26.0,71.0,29.0,5.0,2.0,0.0,29.0,2.0,25.0,2.0,0.0,272.0,1.0,0.69,3.6,9.83,2.73,16.5,32.9,6.7,69.9,4.02,0.28,3.24,1.2,3.0,12000000.0,4000000.0
Daniel Cabrera,2008,Orioles,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,-1.62,8.0,10.0,30.0,2.0,180.0,199.0,24.0,90.0,95.0,109.0,0.0,0.0,2.0,105.0,18.0,0.0,5.0,0.0,821.0,15.0,1.2,4.5,4.75,1.06,0.6,48.0,12.2,72.4,5.25,0.295,5.61,1.61,1.0,2600000.0,2600000.0
